endereco,estado
"Rua Rio Grande, 245",RJ
"Rua São Paulo, 937",SP
"Avenida Minas Gerais, 470",RS
"Travessa Bahia, 822",RS
"Travessa Ceará, 26",RJ
"Travessa Minas Gerais, 256",RJ
"Avenida Ceará, 957",SP
"Travessa Ceará, 251",MG
"Rua Rio Grande, 268",BA
"Avenida Bahia, 795",MG
"Rua Goiás, 914",BA
"Travessa Ceará, 80",SC
"Rua Santa Catarina, 868",SP
"Travessa Rio Grande, 937",GO
"Travessa São Paulo, 496",SC
"Travessa Santa Catarina, 926",CE
"Travessa Bahia, 667",PR
"Avenida Santa Catarina, 87",MG
"Rua Paraná, 812",CE
"Rua Pernambuco, 245",RS
"Rua Goiás, 259",PR
"Travessa Bahia, 251",BA
"Rua Paraná, 408",RS
"Travessa Paraná, 423",RS
"Travessa Minas Gerais, 340",SC
"Travessa Rio Grande, 409",RJ
"Rua Goiás, 881",RS
"Travessa Minas Gerais, 798",SC
"Travessa Rio Grande, 647",RJ
"Avenida Ceará, 713",PE
"Avenida Bahia, 613",GO
"Avenida Goiás, 560",MG
"Rua Minas Gerais, 241",CE
"Avenida São Paulo, 508",BA
"Travessa Pernambuco, 253",BA
"Travessa Pernambuco, 774",GO
"Rua Paraná, 521",SP
"Avenida Ceará, 698",GO
"Travessa Minas Gerais, 740",MG
"Travessa Amazonas, 853",CE
"Travessa Santa Catarina, 10",PR
"Avenida Paraná, 538",PR
"Travessa Amazonas, 62",RJ
"Travessa Paraná, 283",PR
"Avenida Amazonas, 396",BA
"Travessa Goiás, 411",PE
"Avenida Pernambuco, 129",SP
"Rua Goiás, 848",MG
"Avenida Bahia, 248",SP
"Rua Minas Gerais, 671",PE
